,Industry,Job Title,Rating,Revenue,Sector,Size,Type of ownership,Hourly,Employer_Provided_Salary,min_salary,max_salary,average_salary,Company_Name,job_city,headquarter_city,same_city,age,python_req,rstudio_req,spark_req,aws_req,excel_req,tableau_req,machinelearning_req
759,Insurance Carriers,Senior Healthcare Data Analyst - Contract Modeling Exp A Plus!,2.8,$1 to $2 billion (USD),Insurance,1001 to 5000 employees,Nonprofit Organization,0,0,116,152,134.0,Fallon Health,Worcester,Worcester,1,43,0,0,0,1,1,0,0
760,Enterprise Software & Network Solutions,Senior Data Engineer,4.2,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,116,152,134.0,Novetta,Herndon,Mc Lean,0,8,1,0,1,0,1,0,1
761,IT Services,Machine Learning Engineer,3.9,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,116,152,134.0,Temboo,New York,New York,1,-1,0,0,0,0,0,0,1
762,Construction,ENVIRONMENTAL ENGINEER/SCIENTIST,3.3,Unknown / Non-Applicable,"Construction, Repair & Maintenance",1 to 50 employees,Company - Private,0,0,116,152,134.0,Mcphail Associates,Cambridge,Cambridge,1,44,0,0,0,0,1,0,0
763,Biotech & Pharmaceuticals,PKPD Modelling & Simulation Senior Scientist,4.0,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,116,152,134.0,AstraZeneca,Waltham,Cambridge,0,107,0,0,0,0,1,0,0
764,Insurance Carriers,Senior Risk Adjustment Data Engineer,3.2,$1 to $2 billion (USD),Insurance,501 to 1000 employees,Nonprofit Organization,0,0,116,152,134.0,Neighborhood Health Plan of RI,Smithfield,Smithfield,1,26,0,0,0,1,1,0,0
765,Religious Organizations,Data Engineer 5 - Contract,4.1,Unknown / Non-Applicable,Non-Profit,10000+ employees,Nonprofit Organization,0,0,116,152,134.0,The Church of Jesus Christ of Latter-day Saints,Riverton,Salt Lake City,0,-1,0,0,0,0,1,1,1
766,Computer Hardware & Software,"Senior Data Scientist, Education",3.4,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,169,263,216.0,Chan Zuckerberg Initiative,Redwood City,Redwood City,1,5,1,0,0,0,1,0,0
767,Biotech & Pharmaceuticals,"Real World Science, Data Scientist",4.0,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,169,263,216.0,AstraZeneca,Gaithersburg,Cambridge,0,107,1,0,0,0,0,0,1
768,Publishing,"Data Engineer, Ad Technology",4.7,Unknown / Non-Applicable,Media,51 to 200 employees,Company - Private,0,0,169,263,216.0,Health Union,Philadelphia,Philadelphia,1,11,1,0,1,1,1,0,0
769,Telecommunications Services,Data Engineer - MAX,2.7,$5 to $10 billion (USD),Telecommunications,501 to 1000 employees,Subsidiary or Business Segment,0,0,169,263,216.0,TracFone Wireless,Miami,Miami,1,24,1,0,1,1,0,0,0
770,Biotech & Pharmaceuticals,"Clinical Development Scientist, Rare Disease",3.7,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,169,263,216.0,Takeda,Cambridge,OSAKA,0,239,0,0,0,0,1,0,0
771,Consulting,Cloud Data Engineer,4.4,$50 to $100 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,169,263,216.0,Maven Wave Partners,Chicago,Chicago,1,12,1,0,1,1,1,0,0
772,Biotech & Pharmaceuticals,Senior Research Scientist Clinical Genetics and Genomics,3.9,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,169,263,216.0,Bristol-Myers Squibb,Hopewell,New York,0,162,0,0,0,0,1,0,0
773,IT Services,Future Opportunity: Data Engineer,3.9,$2 to $5 billion (USD),Information Technology,10000+ employees,Company - Private,0,0,169,263,216.0,AVANADE,Hartford,Seattle,0,20,0,0,0,0,0,0,1
774,Aerospace & Defense,Applied Computer Scientist,4.5,$100 to $500 million (USD),Aerospace & Defense,201 to 500 employees,Company - Private,0,0,169,263,216.0,Systems & Technology Research,Woburn,Woburn,1,10,0,0,0,0,0,0,0
775,Health Care Services & Hospitals,"Associate Scientist Pharmacometrics, Clinical PKPD-QSP Modeling and Simulation",4.2,$100 to $500 million (USD),Health Care,501 to 1000 employees,Company - Public,0,0,169,263,216.0,"Tabula Rasa HealthCare, Inc",Orlando,Moorestown,0,11,0,0,0,0,0,0,0
776,Insurance Carriers,"Senior Director, Trusted Artificial Intelligence - Office of Data Science",3.4,$10+ billion (USD),Insurance,10000+ employees,Company - Private,0,0,169,263,216.0,Liberty Mutual Insurance,Boston,Boston,1,108,0,0,0,0,0,0,1
777,Enterprise Software & Network Solutions,Senior Data Engineer,4.6,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,169,263,216.0,A Cloud Guru,Austin,Austin,1,5,1,0,0,1,0,0,0
778,Colleges & Universities,Machine Learning Engineer,2.7,Unknown / Non-Applicable,Education,501 to 1000 employees,College / University,0,0,169,263,216.0,Software Engineering Institute,Pittsburgh,Pittsburgh,1,36,1,0,0,0,0,0,1
779,Biotech & Pharmaceuticals,"Scientist, Analytical Development",3.6,$100 to $500 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,169,263,216.0,Rubius Therapeutics,Cambridge,Cambridge,1,7,0,0,0,0,0,0,0
780,-1,"Senior Scientist, Computational Biology",3.9,Unknown / Non-Applicable,-1,1001 to 5000 employees,Nonprofit Organization,0,0,169,263,216.0,Icahn School of Medicine at Mount Sinai,New York,New York,1,-1,1,0,0,0,1,0,1
781,Health Care Services & Hospitals,"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift - $3,000 sign on bonus!",4.0,$100 to $500 million (USD),Health Care,1001 to 5000 employees,Company - Public,0,0,169,263,216.0,Exact Sciences Corporation,Madison,Madison,1,25,0,0,0,0,0,0,0
782,Architectural & Engineering Services,"Environmental Scientists, Geologists, or Environmental Engineers - Entry to 2 Years Experience",4.0,$100 to $500 million (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,169,263,216.0,Langan Engineering and Environmental Services,Los Angeles,Parsippany,0,50,0,0,0,0,1,0,0
783,Lending,Senior Data Engineer,4.6,Unknown / Non-Applicable,Finance,201 to 500 employees,Company - Private,0,0,169,263,216.0,Loanpal,Roseville,Roseville,1,7,1,0,1,1,1,0,0
784,Health Care Services & Hospitals,"Lead Certified Clinical Laboratory Scientist - Tuesday - Friday, 8:00pm - 6:30am shift - $3,000 sign on bonus!",4.0,$100 to $500 million (USD),Health Care,1001 to 5000 employees,Company - Public,0,0,169,263,216.0,Exact Sciences Corporation,Madison,Madison,1,25,0,0,0,0,0,0,0
785,Health Care Products Manufacturing,Sr. Compliance Data Analyst,3.9,$1 to $2 billion (USD),Manufacturing,1001 to 5000 employees,Company - Private,0,0,169,263,216.0,Arthrex,Naples,Naples,1,39,0,0,0,1,1,1,0
786,-1,"Senior Scientist - Group Lead, Cancer Biology",-1.0,-1,-1,-1,-1,0,0,169,263,216.0,Monte Rosa Therapeutics,Cambridge,-1,0,-1,0,0,0,0,1,0,0
787,Research & Development,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - TRANSPORTATION TECHNOLOGY,4.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Nonprofit Organization,0,0,169,263,216.0,Southwest Research Institute,San Antonio,San Antonio,1,73,1,0,0,0,1,0,0
788,Home Furniture & Housewares Stores,Supply Chain Analytics Manager,4.0,$100 to $500 million (USD),Retail,1001 to 5000 employees,Company - Private,0,0,169,263,216.0,City Furniture,Tamarac,Tamarac,1,49,0,0,0,0,1,0,0
789,Federal Agencies,Senior Research Scientist – Security and Privacy,3.4,$50 to $100 million (USD),Government,501 to 1000 employees,Nonprofit Organization,0,0,169,263,216.0,Riverside Research Institute,Crystal City,Arlington,0,53,0,0,0,0,0,0,1
790,Consumer Products Manufacturing,Sr. Tech Svc Scientist (I),2.9,$2 to $5 billion (USD),Manufacturing,1001 to 5000 employees,Company - Private,0,0,169,263,216.0,The Nature's Bounty Co.,Prescott,Ronkonkoma,0,49,0,0,0,0,1,0,0
791,Insurance Carriers,Principal Data & Analytics Platform Engineer,3.7,$5 to $10 billion (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,169,263,216.0,Blue Cross and Blue Shield of North Carolina,Durham,Durham,1,87,1,0,1,1,1,0,0
792,Biotech & Pharmaceuticals,Head of Real-World Data Science,5.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1 to 50 employees,Company - Private,0,0,169,263,216.0,Genesis Research,Hoboken,Hoboken,1,11,0,0,0,0,1,0,0
793,Biotech & Pharmaceuticals,"Clinical Scientist, Haem Onc (Director level)",3.8,$1 to $2 billion (USD),Biotech & Pharmaceuticals,1001 to 5000 employees,Company - Public,0,0,169,263,216.0,Jazz Pharma,Philadelphia,Palo Alto,0,17,0,0,0,0,0,0,0
794,Biotech & Pharmaceuticals,"Sr. Associate Scientist / Scientist I, Antibody Engineering",4.4,Unknown / Non-Applicable,Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,0,0,169,263,216.0,23andMe,South San Francisco,Sunnyvale,0,14,0,0,0,1,1,0,0
795,Biotech & Pharmaceuticals,Senior Scientist - Biochemistry,3.4,$10 to $25 million (USD),Biotech & Pharmaceuticals,51 to 200 employees,Company - Private,0,0,169,263,216.0,Reaction Biology,Malvern,Malvern,1,19,0,0,0,0,1,0,0
796,IT Services,Data Scientist - TS/SCI FSP or CI Required,5.0,$1 to $5 million (USD),Information Technology,1 to 50 employees,Company - Private,0,0,169,263,216.0,Phoenix Operations Group,Annapolis Junction,Woodbine,0,9,1,0,1,0,0,0,1
797,Insurance Carriers,Senior Marketing Data Analyst,3.5,$10 to $25 million (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,169,263,216.0,Plymouth Rock Assurance,Boston,Boston,1,38,1,0,0,0,1,1,0
798,Computer Hardware & Software,Senior Data Scientist,4.8,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,110,163,136.5,Klaviyo,Boston,Boston,1,8,0,0,0,0,0,0,1
799,Biotech & Pharmaceuticals,Data Scientist,3.7,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,110,163,136.5,Takeda,Cambridge,OSAKA,0,239,1,0,1,0,0,0,1
800,Research & Development,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING,4.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Nonprofit Organization,0,0,110,163,136.5,Southwest Research Institute,Dayton,San Antonio,0,73,1,0,0,0,1,0,0
801,Federal Agencies,Sr.Data Scientist/Computer Scientist,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,110,163,136.5,MITRE,McLean,Bedford,0,62,1,0,1,0,0,0,1
802,Health Care Services & Hospitals,"Clinical Laboratory Scientist I - Saturday - Tuesday, 8:00pm - 6:30am shift - Full & Part-Time Opportunities Available",4.0,$100 to $500 million (USD),Health Care,1001 to 5000 employees,Company - Public,0,0,110,163,136.5,Exact Sciences Corporation,Madison,Madison,1,25,0,0,0,0,0,0,0
803,Aerospace & Defense,"Machine Learning Engineer, Sr.",4.2,$100 to $500 million (USD),Aerospace & Defense,501 to 1000 employees,Company - Public,0,0,110,163,136.5,AeroVironment,Simi Valley,Simi Valley,1,49,1,0,0,1,1,0,1
804,Biotech & Pharmaceuticals,"Senior Scientist, Method Development",3.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1001 to 5000 employees,Company - Private,0,0,110,163,136.5,Q2 Solutions,Ithaca,Morrisville,0,5,0,0,0,0,1,0,0
805,IT Services,Senior Cyber Security Engineer/Big Data SME,4.2,$100 to $500 million (USD),Information Technology,1001 to 5000 employees,Company - Private,0,0,110,163,136.5,Scientific Research Corporation,Charleston,Atlanta,0,32,0,0,0,0,1,0,0
806,Internet,Senior Claims Data Analyst,2.9,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,110,163,136.5,Healthgrades,Austin,Denver,0,22,0,0,0,0,1,1,0
807,Lending,Senior Data Architect,3.5,$500 million to $1 billion (USD),Finance,1001 to 5000 employees,Company - Private,0,0,110,163,136.5,Exeter Finance,Irving,Irving,1,14,0,0,0,1,0,0,0
808,Federal Agencies,Part Time MASINT Research Scientist/Engineer,3.4,$50 to $100 million (USD),Government,501 to 1000 employees,Nonprofit Organization,0,0,110,163,136.5,Riverside Research Institute,Beavercreek,Arlington,0,53,0,0,0,0,0,0,0
809,Enterprise Software & Network Solutions,Senior Machine Learning Engineer,5.0,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,110,163,136.5,LifeOmic,Raleigh,Indianapolis,0,4,0,0,1,1,0,0,1
810,Biotech & Pharmaceuticals,Associate Scientist/Scientist – Analytical Chemistry,3.7,Unknown / Non-Applicable,Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,110,163,136.5,Karyopharm Therapeutics Inc.,Newton,Newton,1,-1,0,0,0,0,0,0,0
811,Energy,Senior Data Scientist 4 - Artificial Intelligence,3.8,$500 million to $1 billion (USD),"Oil, Gas, Energy & Utilities",1001 to 5000 employees,Government,0,0,110,163,136.5,PNNL,Richland,Richland,1,55,0,0,0,0,0,0,1
812,Research & Development,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,4.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Nonprofit Organization,0,0,110,163,136.5,Southwest Research Institute,Oklahoma City,San Antonio,0,73,1,0,0,0,1,0,0
813,Biotech & Pharmaceuticals,Sr. Scientist / Sr. Engineer Manufacturing Science and Technology,3.7,$1 to $5 million (USD),Biotech & Pharmaceuticals,501 to 1000 employees,Company - Public,0,0,110,163,136.5,Moderna Therapeutics,Norwood,Cambridge,0,9,0,0,0,0,0,0,0
814,Internet,"Lead, Data Engineer",2.9,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,110,163,136.5,Healthgrades,Denver,Denver,1,22,1,0,0,0,0,0,0
815,Consumer Products Manufacturing,"Sr Manager, Data Science - Policy & Advocacy",3.3,$10+ billion (USD),Manufacturing,5001 to 10000 employees,Company - Private,0,0,110,163,136.5,Reynolds American,Winston-Salem,Winston-Salem,1,145,0,0,0,0,1,0,0
816,Staffing & Outsourcing,Sr Data Engineer,3.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,110,163,136.5,Group O,San Antonio,Milan,0,46,1,0,0,0,1,0,0
817,Internet,Senior Data Engineer,3.6,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,110,163,136.5,DoubleVerify,New York,New York,1,12,0,0,1,0,1,0,0
818,Investment Banking & Asset Management,Sr. Data Analyst for Marketing,3.5,$500 million to $1 billion (USD),Finance,1001 to 5000 employees,Company - Private,0,0,110,163,136.5,Freedom Financial Network,San Mateo,San Mateo,1,18,1,0,0,0,1,1,1
819,Biotech & Pharmaceuticals,"Scientist, Immuno-Oncology (Non-PhD role)",3.9,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,110,163,136.5,GSK,Cambridge,Brentford,0,190,0,0,0,1,0,0,0
820,Automotive Parts & Accessories Stores,Senior Director of Data Science,4.0,$2 to $5 billion (USD),Retail,10000+ employees,Company - Private,0,0,110,163,136.5,Discount Tire,Scottsdale,Scottsdale,1,60,1,0,0,0,1,0,1
821,Aerospace & Defense,Data Engineer (Active TS SCI with Polygraph),4.4,$10 to $25 million (USD),Aerospace & Defense,51 to 200 employees,Company - Private,0,0,110,163,136.5,"Volume Integration, LLC",Reston,Reston,1,7,0,0,0,0,1,0,1
822,IT Services,"Principal Data Engineer [Search] - Secureworks - Austin, TX; Atlanta, GA; or US Remote",3.7,$100 to $500 million (USD),Information Technology,1001 to 5000 employees,Company - Public,0,0,110,163,136.5,Secureworks,Florida,Atlanta,0,21,1,0,1,1,0,0,1
823,Lending,Report Writer-Data Analyst,3.4,Unknown / Non-Applicable,Finance,1001 to 5000 employees,Company - Private,0,0,110,163,136.5,Security Finance Corporation of Spartanburg,Spartanburg,Spartanburg,1,65,0,0,0,0,0,0,0
824,Utilities,"Senior Data Analyst, Economics & Load Forecasting",3.6,$5 to $10 billion (USD),"Oil, Gas, Energy & Utilities",10000+ employees,Company - Public,0,0,110,163,136.5,National Grid USA,Waltham,Waltham,1,30,1,0,0,0,1,1,0
825,Staffing & Outsourcing,"Data Engineer (Go, RESTful API, Apache)",4.3,$10 to $25 million (USD),Business Services,Unknown,Company - Private,0,0,110,163,136.5,The Syllogisteks Company,Creve Coeur,Chesterfield,0,28,0,0,0,1,0,0,0
826,Biotech & Pharmaceuticals,"Senior Scientist/Associate Director, AAV Biology and Production",4.3,Unknown / Non-Applicable,Biotech & Pharmaceuticals,51 to 200 employees,Company - Private,0,0,110,163,136.5,Decibel Therapeutics,Boston,Boston,1,5,0,0,0,0,1,0,0
827,Computer Hardware & Software,Senior Data Engineer,4.1,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,110,163,136.5,Luminar Technologies,Palo Alto,Orlando,0,8,1,0,1,1,0,0,0
828,Health Care Services & Hospitals,Post-Doctoral Magnetic Resonance Research Scientist,3.9,$10+ billion (USD),Health Care,10000+ employees,Company - Public,0,0,110,163,136.5,Siemens Healthineers,Phoenix,Erlangen,0,173,0,0,0,0,1,0,0
829,Consumer Products Manufacturing,Senior Scientist - Clinical Project Leader,3.3,$10+ billion (USD),Manufacturing,5001 to 10000 employees,Company - Private,0,0,110,163,136.5,Reynolds American,Winston-Salem,Winston-Salem,1,145,0,0,0,0,1,0,0
831,Computer Hardware & Software,Data Scientist II (Miami),3.4,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,90,145,117.5,OfferUp,Miami,Bellevue,0,9,1,0,0,1,0,0,1
832,Biotech & Pharmaceuticals,Deployed Data Scientist,3.4,Unknown / Non-Applicable,Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,0,0,90,145,117.5,Concerto HealthAI,New York,Boston,0,2,1,0,1,0,0,1,0
833,-1,Data Scientist,-1.0,Unknown / Non-Applicable,-1,Unknown,Company - Private,0,0,90,145,117.5,TransReach,San Francisco,East Brunswick,0,-1,1,0,0,0,0,0,0
834,Aerospace & Defense,Data Scientist,4.5,Unknown / Non-Applicable,Aerospace & Defense,51 to 200 employees,Company - Private,0,0,90,145,117.5,Axiologic Solutions,Alexandria,Fairfax,0,11,0,0,0,1,0,0,0
835,-1,Data Scientist,2.0,Less than $1 million (USD),-1,1 to 50 employees,Company - Private,0,0,90,145,117.5,FM Systems,Boston,Santa Ana,0,-1,1,0,1,1,1,0,0
836,Computer Hardware & Software,Data Science Manager,4.0,$2 to $5 billion (USD),Information Technology,5001 to 10000 employees,Company - Public,0,0,90,145,117.5,Autodesk,San Francisco,San Rafael,0,38,1,0,1,0,1,0,1
837,Computer Hardware & Software,Data Scientist,3.6,$10+ billion (USD),Information Technology,10000+ employees,Company - Public,0,0,90,145,117.5,Western Digital,San Jose,San Jose,1,50,0,0,0,1,0,0,1
838,IT Services,Data Scientist,4.8,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,90,145,117.5,TechProjects,New York,North Brunswick,0,9,1,0,0,0,1,1,0
839,-1,Data Scientist,-1.0,-1,-1,-1,-1,0,0,90,145,117.5,4S-Silversword Software and Services,Silver Spring,-1,0,-1,0,0,0,0,0,0,0
840,-1,Data Scientist,5.0,Unknown / Non-Applicable,-1,1 to 50 employees,Unknown,0,0,90,145,117.5,Mount Indie,Charlottesville,San Diego,0,-1,1,0,0,0,0,0,1
841,Biotech & Pharmaceuticals,Data Scientist,2.6,$25 to $50 million (USD),Biotech & Pharmaceuticals,51 to 200 employees,Company - Private,0,0,90,145,117.5,Technical Resources International,Bethesda,Bethesda,1,30,1,0,0,0,1,1,0
842,-1,Data Scientist,-1.0,Unknown / Non-Applicable,-1,1001 to 5000 employees,Company - Private,0,0,90,145,117.5,Rock Central,Detroit,Detroit,1,-1,0,0,0,0,0,0,0
843,Biotech & Pharmaceuticals,Principal Data Analyst,5.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,51 to 200 employees,Company - Private,0,0,90,145,117.5,EQRx,Cambridge,Cambridge,1,1,1,0,0,0,1,0,0
844,Aerospace & Defense,Data Scientist,3.1,$100 to $500 million (USD),Aerospace & Defense,1001 to 5000 employees,Company - Private,0,0,90,145,117.5,Gryphon Technologies,Philadelphia,Washington,0,-1,1,0,0,1,0,0,1
845,IT Services,Data Scientist,3.1,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,90,145,117.5,"Cyber Defense Solutions, LLC",Reston,Lorton,0,12,1,0,1,1,0,1,1
846,Architectural & Engineering Services,Data Scientist,3.4,$1 to $5 million (USD),Business Services,1 to 50 employees,Company - Private,0,0,90,145,117.5,"Big Sky Associates, Inc.",Springfield,Manassas,0,26,1,0,0,0,0,0,0
847,IT Services,Data Scientist,4.0,$1 to $5 million (USD),Information Technology,1 to 50 employees,Company - Private,0,0,90,145,117.5,IQuasar,Fairfax,Sterling,0,16,0,0,0,0,0,0,0
848,Logistics & Supply Chain,Data Scientist,2.7,$5 to $10 billion (USD),Transportation & Logistics,1001 to 5000 employees,Company - Private,0,0,90,145,117.5,American Tire,Huntersville,Huntersville,1,85,1,0,0,0,1,0,1
849,-1,Data Scientist,-1.0,Unknown / Non-Applicable,-1,Unknown,Company - Public,0,0,90,145,117.5,Xcelo Group,Irving,McKinney,0,-1,1,0,0,0,1,0,1
850,-1,Data Scientist,-1.0,-1,-1,-1,-1,0,0,90,145,117.5,SentiLink,San Francisco,-1,0,-1,0,0,0,1,0,0,1
851,-1,"Senior Scientist, Data Science",4.4,Unknown / Non-Applicable,-1,1 to 50 employees,Other Organization,0,0,90,145,117.5,LifeMine,Cambridge,Cambridge,1,-1,1,0,0,1,0,0,1
852,-1,Data Scientist,5.0,Unknown / Non-Applicable,-1,1 to 50 employees,Company - Public,0,0,90,145,117.5,Maxiom,Ashburn,Ashburn,1,-1,1,0,0,0,1,1,0
853,Consulting,Data Scientist active TS/SCI,4.0,$100 to $500 million (USD),Business Services,1001 to 5000 employees,Nonprofit Organization,0,0,90,145,117.5,LMI,Fort Belvoir,Tysons,0,59,1,0,0,0,0,0,1
854,Miscellaneous Manufacturing,Senior Business Intelligence Analyst,3.7,$100 to $500 million (USD),Manufacturing,1001 to 5000 employees,Company - Public,0,0,90,145,117.5,Protolabs,Maple Plain,Maple Plain,1,21,0,0,0,0,0,0,0
855,IT Services,Data Scientist,4.5,$1 to $5 million (USD),Information Technology,1 to 50 employees,Company - Private,0,0,90,145,117.5,BTree Solutions Inc,Nashville,Herndon,0,-1,1,0,1,0,1,0,0
856,-1,Data Scientist,3.6,Unknown / Non-Applicable,-1,501 to 1000 employees,Government,0,0,90,145,117.5,Alaka`ina Foundation,Fort Sam Houston,Honolulu,0,-1,1,0,0,0,0,0,1
857,Staffing & Outsourcing,Data Scientist,3.6,$100 to $500 million (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,90,145,117.5,Signature Consultants,New Hope,Fort Lauderdale,0,23,1,0,0,0,0,1,0
858,Enterprise Software & Network Solutions,"Senior Data Scientist, Real World EvidenceNY",3.9,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,90,145,117.5,Flatiron Health,New York,New York,1,8,1,0,0,0,0,0,1
859,-1,Data Scientist,-1.0,-1,-1,-1,-1,0,0,90,145,117.5,Blue Cloak LLC,Sterling,-1,0,-1,1,0,1,1,0,1,1
860,Staffing & Outsourcing,"Data Engineer/Steward/Developer (Python, REST API)",4.3,$10 to $25 million (USD),Business Services,Unknown,Company - Private,0,0,90,145,117.5,The Syllogisteks Company,Saint Louis,Chesterfield,0,28,1,0,0,1,1,0,0
861,Aerospace & Defense,"Data Scientist Staff R, Python, Tableau, HANA, SQL - Orlando/Dallas",3.8,$10+ billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,90,145,117.5,Lockheed Martin,Orlando,Bethesda,0,25,1,0,0,0,1,1,1
862,Architectural & Engineering Services,Statistician & Data Analysis Scientist,3.6,Unknown / Non-Applicable,Business Services,201 to 500 employees,Company - Private,0,0,212,331,271.5,FDH Infrastructure Services,Raleigh,Raleigh,1,26,0,0,0,0,0,0,1
863,Biotech & Pharmaceuticals,Senior Principal Data Scientist (Python/R),4.1,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,212,331,271.5,Roche,Pleasanton,Basel,0,124,1,0,1,0,1,0,1
864,Trucking,Data Scientist,3.0,$100 to $500 million (USD),Transportation & Logistics,1001 to 5000 employees,Subsidiary or Business Segment,0,0,212,331,271.5,Trimble Transportation,Minnetonka,Minnetonka,1,26,1,0,1,1,1,0,1
865,Computer Hardware & Software,Data Scientist,4.0,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,212,331,271.5,New York Technology Partners,Seattle,Jersey City,0,21,1,0,1,1,1,0,1
866,-1,Data Scientist,-1.0,-1,-1,-1,-1,0,0,212,331,271.5,Arshi Systems Inc.,Spartanburg,-1,0,-1,1,0,0,0,1,0,1
867,Health Care Services & Hospitals,Data Scientist,2.7,Unknown / Non-Applicable,Health Care,Unknown,Nonprofit Organization,0,0,212,331,271.5,Catholic Home Care,Rockville Centre,Farmingdale,0,-1,0,0,0,0,0,0,0
868,Aerospace & Defense,Data Scientist,4.1,$100 to $500 million (USD),Aerospace & Defense,201 to 500 employees,Company - Private,0,0,212,331,271.5,Frontier Technology Inc.,Huntsville,Beavercreek,0,35,0,0,0,0,0,0,1
869,Health Care Services & Hospitals,Medical Lab Scientist (MLS),3.3,$100 to $500 million (USD),Health Care,10000+ employees,Nonprofit Organization,0,0,212,331,271.5,Ascension,Panama City,Saint Louis,0,21,0,0,0,0,0,0,0
870,Biotech & Pharmaceuticals,Data Engineer/FAIR Data Specialist,4.0,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,212,331,271.5,AstraZeneca,Gaithersburg,Cambridge,0,107,1,0,0,0,0,0,0
871,Computer Hardware & Software,MACHINE LEARNING ENGINEER / Sr. DATA SCIENTIST,3.5,$50 to $100 million (USD),Information Technology,1001 to 5000 employees,Subsidiary or Business Segment,0,0,212,331,271.5,Samsung Research America,Mountain View,Mountain View,1,32,1,0,1,1,0,0,1
872,-1,Data Scientist,-1.0,-1,-1,-1,-1,0,0,212,331,271.5,infusion Resourcing,Nashville,-1,0,-1,1,0,1,1,1,1,1
873,Staffing & Outsourcing,Data Scientist,4.0,$10 to $25 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,212,331,271.5,HRU Tech,Morrisville,Lansing,0,41,0,0,0,0,0,0,1
874,Consulting,Data Scientist,3.9,$50 to $100 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,212,331,271.5,NetImpact Strategies,Vienna,Falls Church,0,11,1,0,1,1,0,0,0
875,Gas Stations,Data Scientist,3.1,$10+ billion (USD),Retail,10000+ employees,Company - Private,0,0,212,331,271.5,Pilot Flying J,Dallas,Knoxville,0,62,1,0,1,0,1,0,1
876,Banks & Credit Unions,Data Scientist,3.9,$500 million to $1 billion (USD),Finance,1001 to 5000 employees,Company - Public,0,0,212,331,271.5,Pinnacle Partners,Indianapolis,Nashville,0,20,1,0,0,0,0,0,1
